# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: srl.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
             495   N   00000648   00000001   0000064a   x02_sp     00000007
             496   N   0000064a   800000b7   0000064c   ---        --------
             497   N   0000064c   0020d1b3   00000650   x01_ra     80000000
             498   N   00000650   00000205   00000654   x03_gp     01000000
             499   N   00000654   00004289   00000656   x04_tp     00000001
             500   N   00000656   fe5218e3   00000658   x05_t0     00000002
             501   N   00000658   01000eb7   00000648   ---        --------
             504   N   00000648   00000001   0000064a   x02_sp     00000007
             505   N   0000064a   800000b7   0000064c   ---        --------
             506   N   0000064c   0020d1b3   00000650   x01_ra     80000000
             507   N   00000650   00000205   00000654   x03_gp     01000000
             508   N   00000654   00004289   00000656   x04_tp     00000002
             509   N   00000656   fe5218e3   00000658   x05_t0     00000002
             510   N   00000658   01000eb7   0000065c   ---        --------
             511   N   0000065c   02500e13   00000660   x29_t4     01000000
             512   N   00000660   09d19d63   00000664   x28_t3     00000025
             513   N   00000664   00004201   00000668   ---        --------
             514   N   00000668   00004139   0000066a   x04_tp     00000000
             515   N   0000066a   00000001   0000066c   x02_sp     0000000e
             516   N   0000066c   800000b7   0000066e   ---        --------
             517   N   0000066e   00000001   00000672   x01_ra     80000000
             518   N   00000672   0020d1b3   00000674   ---        --------
             519   N   00000674   00000205   00000678   x03_gp     00020000
             520   N   00000678   00004289   0000067a   x04_tp     00000001
             521   N   0000067a   fe5217e3   0000067c   x05_t0     00000002
             522   N   0000067c   00020eb7   0000066a   ---        --------
             525   N   0000066a   00000001   0000066c   x02_sp     0000000e
             526   N   0000066c   800000b7   0000066e   ---        --------
             527   N   0000066e   00000001   00000672   x01_ra     80000000
             528   N   00000672   0020d1b3   00000674   ---        --------
             529   N   00000674   00000205   00000678   x03_gp     00020000
             530   N   00000678   00004289   0000067a   x04_tp     00000002
             531   N   0000067a   fe5217e3   0000067c   x05_t0     00000002
             532   N   0000067c   00020eb7   00000680   ---        --------
             533   N   00000680   02600e13   00000684   x29_t4     00020000
             534   N   00000684   07d19b63   00000688   x28_t3     00000026
             535   N   00000688   00004201   0000068c   ---        --------
             536   N   0000068c   0000417d   0000068e   x04_tp     00000000
             537   N   0000068e   00000001   00000690   x02_sp     0000001f
             538   N   00000690   00000001   00000692   ---        --------
             539   N   00000692   800000b7   00000694   ---        --------
             540   N   00000694   0020d1b3   00000698   x01_ra     80000000
             541   N   00000698   00000205   0000069c   x03_gp     00000001
             542   N   0000069c   00004289   0000069e   x04_tp     00000001
             543   N   0000069e   fe5217e3   000006a0   x05_t0     00000002
             544   N   000006a0   00004e85   0000068e   ---        --------
             547   N   0000068e   00000001   00000690   x02_sp     0000001f
             548   N   00000690   00000001   00000692   ---        --------
             549   N   00000692   800000b7   00000694   ---        --------
             550   N   00000694   0020d1b3   00000698   x01_ra     80000000
             551   N   00000698   00000205   0000069c   x03_gp     00000001
             552   N   0000069c   00004289   0000069e   x04_tp     00000002
             553   N   0000069e   fe5217e3   000006a0   x05_t0     00000002
             554   N   000006a0   00004e85   000006a4   ---        --------
             555   N   000006a4   02700e13   000006a6   x29_t4     00000001
             556   N   000006a6   4e859a63   000006aa   x28_t3     00000027
             558   N   000006aa   000040bd   000006ae   ---        --------
             559   N   000006ae   00105133   000006b0   x01_ra     0000000f
             560   N   000006b0   00004e81   000006b4   x02_sp     00000000
             561   N   000006b4   02800e13   000006b6   x29_t4     00000000
             562   N   000006b6   4e811263   000006ba   x28_t3     00000028
             564   N   000006ba   02800093   000006be   ---        --------
             566   N   000006be   05d1d133   000006c2   x01_ra     00000020
             568   N   000006c2   02000e93   000006c6   x02_sp     00000020
             570   N   000006c6   00000e13   000006ca   x29_t4     00000020
             572   N   000006ca   02001863   000006ce   x28_t3     00000029
